Saving,15592389,Paola,Vielma,Congress Title,58 Hancock St,Aurora,9054561117,9052637711,119000
Saving,15737173,Leanna,Tijerina,Stephenson Land Surveying,2859 Dorsett Rd,North York,4167192114,4166581773,367900
Saving,15632264,Danilo,Pride,Harry L Adams Incorporated,6857 Wall St,Red Deer,4032124945,4038889985,108000
Saving,15600882,Apolonia,Warne,Kitchen People,3 E 31st St #77,Fredericton,5069781488,5062211874,141000
Saving,15643966,Chandra,Lagos,Meredith Realty Group Inc,7 N Dean St,Etobicoke,4167166446,4168221760,61750
Saving,15788218,Gianna,Branin,All Brevard Cert Apprsls Inc,100 Main St,Calgary,4033377162,4035405944,78100
Saving,15661507,Valentin,Billa,General Color Co Inc,6185 Bohn St #72,Pangman,3062915073,3063167477,35650
Saving,15619304,Lourdes,Bauswell,Oklahoma Neon Inc,9547 Belmont Rd #21,Belleville,6139037043,6136386682,5000
Saving,15737888,Tom,Loeza,Sheraton Shreveport Hotel,447 Commercial St Se,LIle-Perrot,5144876096,5147274760,81600
Saving,15656148,Josefa,Opitz,Norman Gale Isuzu,136 W Grand Ave #3,Delhi,5197887645,5195263721,148800
